localidade;valor;unidade
Lapão - BA;;Mil Reais
Lauro de Freitas - BA;;Mil Reais
Lençóis - BA;;Mil Reais
Licínio de Almeida - BA;;Mil Reais
Livramento de Nossa Senhora - BA;;Mil Reais
Luís Eduardo Magalhães - BA;;Mil Reais
Macajuba - BA;;Mil Reais
Macarani - BA;49;Mil Reais
Macaúbas - BA;;Mil Reais
Macururé - BA;;Mil Reais
Madre de Deus - BA;;Mil Reais
Maetinga - BA;;Mil Reais
Maiquinique - BA;172;Mil Reais
Mairi - BA;;Mil Reais
Malhada - BA;;Mil Reais
Malhada de Pedras - BA;;Mil Reais
Manoel Vitorino - BA;;Mil Reais
Mansidão - BA;;Mil Reais
Maracás - BA;;Mil Reais
Maragogipe - BA;;Mil Reais
Maraú - BA;53366;Mil Reais
Marcionílio Souza - BA;;Mil Reais
Mascote - BA;17662;Mil Reais
Mata de São João - BA;73;Mil Reais
Matina - BA;;Mil Reais
Medeiros Neto - BA;;Mil Reais
Miguel Calmon - BA;;Mil Reais
Milagres - BA;;Mil Reais
Mirangaba - BA;;Mil Reais
Mirante - BA;;Mil Reais
Monte Santo - BA;;Mil Reais
Morpará - BA;;Mil Reais
Morro do Chapéu - BA;;Mil Reais
Mortugaba - BA;;Mil Reais
Mucugê - BA;;Mil Reais
Mucuri - BA;6702;Mil Reais
Mulungu do Morro - BA;;Mil Reais
Mundo Novo - BA;;Mil Reais
Muniz Ferreira - BA;1431;Mil Reais
Muquém de São Francisco - BA;;Mil Reais
Muritiba - BA;;Mil Reais
Mutuípe - BA;73826;Mil Reais
Nazaré - BA;237;Mil Reais
Nilo Peçanha - BA;31443;Mil Reais
Nordestina - BA;;Mil Reais
Nova Canaã - BA;1478;Mil Reais
Nova Fátima - BA;;Mil Reais
Nova Ibiá - BA;55870;Mil Reais
Nova Itarana - BA;;Mil Reais
Nova Redenção - BA;;Mil Reais
Nova Soure - BA;;Mil Reais
Nova Viçosa - BA;248;Mil Reais
Novo Horizonte - BA;;Mil Reais
Novo Triunfo - BA;;Mil Reais
Olindina - BA;;Mil Reais
Oliveira dos Brejinhos - BA;;Mil Reais
Ouriçangas - BA;;Mil Reais
Ourolândia - BA;;Mil Reais
Palmas de Monte Alto - BA;;Mil Reais
Palmeiras - BA;;Mil Reais
Paramirim - BA;;Mil Reais
Paratinga - BA;;Mil Reais
Paripiranga - BA;;Mil Reais
Pau Brasil - BA;10571;Mil Reais
Paulo Afonso - BA;;Mil Reais
Pé de Serra - BA;;Mil Reais
Pedrão - BA;;Mil Reais
Pedro Alexandre - BA;;Mil Reais
Piatã - BA;;Mil Reais
Pilão Arcado - BA;;Mil Reais
Pindaí - BA;;Mil Reais
Pindobaçu - BA;;Mil Reais
Pintadas - BA;;Mil Reais
Piraí do Norte - BA;33837;Mil Reais
Piripá - BA;;Mil Reais
Piritiba - BA;;Mil Reais
Planaltino - BA;;Mil Reais
Planalto - BA;;Mil Reais
Poções - BA;;Mil Reais
Pojuca - BA;;Mil Reais
Ponto Novo - BA;;Mil Reais
Porto Seguro - BA;13863;Mil Reais
Potiraguá - BA;148;Mil Reais
Prado - BA;6171;Mil Reais
Presidente Dutra - BA;;Mil Reais
Presidente Jânio Quadros - BA;;Mil Reais
Presidente Tancredo Neves - BA;40247;Mil Reais
Queimadas - BA;;Mil Reais
Quijingue - BA;;Mil Reais
Quixabeira - BA;;Mil Reais
Rafael Jambeiro - BA;;Mil Reais
Remanso - BA;;Mil Reais
Retirolândia - BA;;Mil Reais
Riachão das Neves - BA;1070;Mil Reais
Riachão do Jacuípe - BA;;Mil Reais
Riacho de Santana - BA;;Mil Reais
Ribeira do Amparo - BA;;Mil Reais
Ribeira do Pombal - BA;;Mil Reais
Ribeirão do Largo - BA;246;Mil Reais
Rio de Contas - BA;;Mil Reais
Rio do Antônio - BA;;Mil Reais
Rio do Pires - BA;;Mil Reais
Rio Real - BA;;Mil Reais
Rodelas - BA;;Mil Reais
Ruy Barbosa - BA;;Mil Reais
Salinas da Margarida - BA;;Mil Reais
Salvador - BA;;Mil Reais
Santa Bárbara - BA;;Mil Reais
Santa Brígida - BA;;Mil Reais
Santa Cruz Cabrália - BA;4363;Mil Reais
Santa Cruz da Vitória - BA;1513;Mil Reais
Santa Inês - BA;;Mil Reais
Santaluz - BA;;Mil Reais
Santa Luzia - BA;21621;Mil Reais
Santa Maria da Vitória - BA;;Mil Reais
Santana - BA;;Mil Reais
Santanópolis - BA;;Mil Reais
Santa Rita de Cássia - BA;;Mil Reais
Santa Teresinha - BA;;Mil Reais
Santo Amaro - BA;1245;Mil Reais
Santo Antônio de Jesus - BA;4454;Mil Reais
Santo Estêvão - BA;;Mil Reais
São Desidério - BA;;Mil Reais
São Domingos - BA;;Mil Reais
São Félix - BA;;Mil Reais
São Félix do Coribe - BA;;Mil Reais
São Felipe - BA;96;Mil Reais
São Francisco do Conde - BA;2174;Mil Reais
São Gabriel - BA;;Mil Reais
São Gonçalo dos Campos - BA;;Mil Reais
São José da Vitória - BA;9574;Mil Reais
São José do Jacuípe - BA;;Mil Reais
São Miguel das Matas - BA;30120;Mil Reais
São Sebastião do Passé - BA;;Mil Reais
Sapeaçu - BA;;Mil Reais
Sátiro Dias - BA;;Mil Reais
Saubara - BA;;Mil Reais
Saúde - BA;;Mil Reais
Seabra - BA;;Mil Reais
Sebastião Laranjeiras - BA;;Mil Reais
Senhor do Bonfim - BA;;Mil Reais
Serra do Ramalho - BA;;Mil Reais
Sento Sé - BA;;Mil Reais
Serra Dourada - BA;;Mil Reais
Serra Preta - BA;;Mil Reais
Serrinha - BA;;Mil Reais
Serrolândia - BA;;Mil Reais
Simões Filho - BA;;Mil Reais
Sítio do Mato - BA;;Mil Reais
Sítio do Quinto - BA;;Mil Reais
Sobradinho - BA;;Mil Reais
Souto Soares - BA;;Mil Reais
Tabocas do Brejo Velho - BA;;Mil Reais
Tanhaçu - BA;;Mil Reais
Tanque Novo - BA;;Mil Reais
Tanquinho - BA;;Mil Reais
Taperoá - BA;11900;Mil Reais
Tapiramutá - BA;;Mil Reais
Teixeira de Freitas - BA;510;Mil Reais
Teodoro Sampaio - BA;;Mil Reais
Teofilândia - BA;;Mil Reais
Teolândia - BA;84751;Mil Reais
Terra Nova - BA;;Mil Reais
Tremedal - BA;;Mil Reais
Tucano - BA;;Mil Reais
Uauá - BA;;Mil Reais
Ubaíra - BA;15908;Mil Reais
Ubaitaba - BA;6793;Mil Reais
Ubatã - BA;24495;Mil Reais
Uibaí - BA;;Mil Reais
Umburanas - BA;;Mil Reais
Una - BA;58305;Mil Reais
Urandi - BA;;Mil Reais
Uruçuca - BA;73111;Mil Reais
Utinga - BA;479;Mil Reais
Valença - BA;56333;Mil Reais
Valente - BA;;Mil Reais
Várzea da Roça - BA;;Mil Reais
Várzea do Poço - BA;;Mil Reais
Várzea Nova - BA;;Mil Reais
Varzedo - BA;8462;Mil Reais
Vera Cruz - BA;;Mil Reais
Vereda - BA;402;Mil Reais
Vitória da Conquista - BA;;Mil Reais
Wagner - BA;;Mil Reais
Wanderley - BA;;Mil Reais
Wenceslau Guimarães - BA;151369;Mil Reais
Xique-Xique - BA;;Mil Reais
